Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Round Trip Time,devices-1,200,0,32,41.33944001493546,29.88400700087368,270.6609380002192,256.0,0.27793358372675986,0.0,32,33,34,34,34,35,260,260,270,270,270
latência,devices-1,200,0,17,24.631341014965074,14.180739000948961,255.22019299933163,256.0,0.27793358372675986,0.0,17,17,18,18,19,19,240,240,260,260,260
Round Trip Time,devices-2,200,0,33,33.47308602001249,31.16059999956633,50.841614000091795,256.0,0.27793358372675986,0.0,33,34,34,35,35,35,35,44,51,51,51
latência,devices-2,200,0,18,17.783617620061705,15.293275999283651,50.71060999944166,256.0,0.27793358372675986,0.0,18,18,19,19,19,19,20,26,51,51,51
Round Trip Time,devices-3,200,0,33,33.83016020492505,31.279846998586436,72.7405829984491,256.0,0.27793358372675986,0.0,33,34,35,35,35,35,36,57,73,73,73
latência,devices-3,200,0,17,17.821962359967074,15.694330000769696,51.08013400058553,256.0,0.27793358372675986,0.0,17,18,19,19,19,20,20,21,51,51,51
Round Trip Time,devices-4,200,0,33,32.977494834849495,30.72413600057189,47.107740998399095,256.0,0.27793358372675986,0.0,33,34,34,34,35,35,35,35,47,47,47
latência,devices-4,200,0,17,17.288273524882243,15.148659000260523,46.98336099863809,256.0,0.27793358372675986,0.0,17,18,18,19,19,19,19,19,47,47,47
Round Trip Time,devices-5,200,0,33,33.23876135505998,30.948227999033406,50.877251000201795,256.0,0.27793358372675986,0.0,33,34,34,34,35,35,35,43,51,51,51
latência,devices-5,200,0,17,17.56153319501209,15.216801999486051,50.770398000167916,256.0,0.27793358372675986,0.0,17,18,18,19,19,19,19,25,51,51,51
,Aggregated,2000,0,30,26.994567014467066,14.180739000948961,270.6609380002192,256.0,2.779335837267599,0.0,30,32,33,33,34,35,35,51,260,270,270
